name,description,price,stock,image,category
Ladies Finger,Fresh and high-yielding ladies finger seeds,50,100,seed_images/ladies_finger.jpg,native
Tomato,Organic tomato seeds for home gardening,40,150,seed_images/tomato.jpg,native
Brinjal,Premium quality brinjal seeds,45,120,seed_images/brinjal.jpg,native
Radish,Non-hybrid radish seeds for healthy growth,30,130,seed_images/radish.jpg,native
Spinach,Rich in nutrients and best quality spinach seeds,35,200,seed_images/spinach.jpg,native
Palak/Spinach (400+ Seeds),Fresh and high-yielding palak/spinach seeds,50,100,seed_images/palak/spinach.jpg,leafy
Amaranth Green(Thotakura) (400+ Seeds),Fresh and high-yielding Amaranth Green(Thotakura) seeds,50,100,seed_images/Amaranth Green(Thotakura).jpg,leafy
Coriander (300+ Seeds) (400+ Seeds),Fresh and high-yielding Coriander (300+ Seeds) seeds,50,100,seed_images/Coriander (300+ Seeds).jpg,leafy
Chukka Kura (250+ Seeds) (400+ Seeds),Fresh and high-yielding Chukka Kura (250+ Seeds) seeds,50,100,seed_images/Chukka Kura (250+ Seeds).jpg,leafy
Methi  (400+ Seeds),Fresh and high-yielding Methi  seeds,50,100,seed_images/Methi .jpg,leafy
Broccoli   (400+ Seeds),Fresh and high-yielding Broccoli   seeds,50,100,seed_images/Broccoli  .jpg,Exotic
Curly Kale   (400+ Seeds),Fresh and high-yielding Curly Kale   seeds,50,100,seed_images/Curly Kale  .jpg,Exotic
Pak Choi  (400+ Seeds),Fresh and high-yielding Pak Choi  seeds,50,100,seed_images/Pak Choi .jpg,Exotic
Capsicum Bell Pepper  (400+ Seeds),Fresh and high-yielding Capsicum Bell Pepper  seeds,50,100,seed_images/Capsicum Bell Pepper .jpg,Exotic
Celery  (400+ Seeds),Fresh and high-yielding Celery  seeds,50,100,seed_images/Celery .jpg,Exotic
Baby Corn Hybrid  (400+ Seeds),Fresh and high-yielding Baby Corn Hybrid  seeds,50,100,seed_images/Baby Corn Hybrid .jpg,Hybrid
Bottle Gourd  (400+ Seeds),Fresh and high-yielding Bottle Gourd  seeds,50,100,seed_images/Bottle Gourd .jpg,Hybrid
Tomato Hybrid  (400+ Seeds),Fresh and high-yielding Tomato Hybrid  seeds,50,100,seed_images/Tomato Hybrid .jpg,Hybrid
Sweet Corn Hybrid  (400+ Seeds),Fresh and high-yielding Sweet Corn Hybrid  seeds,50,100,seed_images/Sweet Corn Hybrid .jpg,Hybrid
Capsicum Orange Hybrid  (400+ Seeds),Fresh and high-yielding Capsicum Orange Hybrid  seeds,50,100,seed_images/Capsicum Orange Hybrid .jpg,Hybrid
